HEALTHFACTORTYPE,SmokingFactor
TCURRENT SMOKELESS TOBACCO USER,UNKNOWN
TCURRENT SMOKER,CURRENT SMOKER
TDP COMRB-SMOKER/CONSIDER REF CESSATION,CURRENT SMOKER
TDP HLTH CONDITION-ACTIVE SMOKER,CURRENT SMOKER
TEE 1 SMOKING CESSATION EDUCATION,CURRENT SMOKER
THINKING OF QUITTING TOBACCO,CURRENT SMOKER
Third contact attempt made post d/c tob,UNKNOWN
THIRD SMOKING CESSATION REFUSED,CURRENT SMOKER
THIRD TOBACCO COUNSELING,CURRENT SMOKER
TIC BENEFIT SMOKE CESSATION COUNSEL NO,CURRENT SMOKER
TIC BENEFIT SMOKE CESSATION COUNSEL YES,CURRENT SMOKER
TIC PT IS A CURRENT SMOKER NO,UNKNOWN
TIC PT IS A CURRENT SMOKER YES,CURRENT SMOKER
TIC SMOKE CESSATION COUNSEL PROVIDED NA,CURRENT SMOKER
TIC SMOKE CESSATION COUNSEL PROVIDED NO,UNKNOWN
TIC SMOKE CESSATION COUNSEL PROVIDED YES,CURRENT SMOKER
TIDES ACTIVE SMOKER-REFER,CURRENT SMOKER
TIDES CURRENT SMOKER,CURRENT SMOKER
TIDES TOBACCO,UNKNOWN
TLIFETIME NON-SMOKER,NEVER SMOKER
TLIFETIME NON-TOBACCO USER,NEVER SMOKER
tob,UNKNOWN
TOB 1800QUITNOW,CURRENT SMOKER
TOB ACT PT YES,CURRENT SMOKER
TOB ANTICIPATING SX,UNKNOWN
TOB CESSATION,CURRENT SMOKER
TOB CESSATION EHEALTH,CURRENT SMOKER
TOB CESSATION FACILITY PROGRAM,CURRENT SMOKER
TOB CESSATION INTERNET PROG,CURRENT SMOKER
TOB CESSATION MED ALLERGY,CURRENT SMOKER
TOB CESSATION MED NO OTHER,CURRENT SMOKER
TOB CESSATION MED PT NOT IN USA,CURRENT SMOKER
TOB CESSATION MED REFUSE,CURRENT SMOKER
TOB CESSATION MED YES,CURRENT SMOKER
TOB CESSATION NO OTHER,CURRENT SMOKER
TOB CESSATION QUITLINE,CURRENT SMOKER
TOB CESSATION REFUSE,CURRENT SMOKER
TOB CESSATION YES,CURRENT SMOKER
TOB CESSATION YES OTHER,CURRENT SMOKER
TOB contemplating quitting,CURRENT SMOKER
TOB COUNSEL BY PROVIDER,CURRENT SMOKER
TOB COUNSEL NOT INDICATED,UNKNOWN
TOB CURRENT NON-USER (2 <7 YEARS),UNKNOWN
TOB CURRENT NON-USER (3 <7YRS),FORMER SMOKER
TOB CURRENT USER,CURRENT SMOKER
TOB declined TOBACCO CESSATION,CURRENT SMOKER
TOB FU NCM COMPLETED,UNKNOWN
TOB FU NCM COUNSEL INFO REFUSED,CURRENT SMOKER
TOB FU NCM COUNSEL NO,CURRENT SMOKER
TOB FU NCM COUNSEL REFUSED,CURRENT SMOKER
TOB FU NCM COUNSEL UNABLE DETER,CURRENT SMOKER
TOB FU NCM COUNSEL YES,CURRENT SMOKER
TOB FU NCM MEDS INFO REFUSED,CURRENT SMOKER
TOB FU NCM MEDS NO,CURRENT SMOKER
TOB FU NCM MEDS REFUSED,CURRENT SMOKER
TOB FU NCM MEDS UNABLE DETER,CURRENT SMOKER
TOB FU NCM MEDS YES,CURRENT SMOKER
TOB FU NCM QUIT NO,CURRENT SMOKER
TOB FU NCM QUIT STATUS REFUSED,CURRENT SMOKER
TOB FU NCM QUIT STATUS UNABLE DETER,UNKNOWN
TOB FU NCM QUIT YES,FORMER SMOKER
TOB GET SUPPORT,CURRENT SMOKER
TOB History TOBACCO USE >1yr <7yrs ago,FORMER SMOKER
TOB IDENTIFY CHALLENGES,CURRENT SMOKER
TOB IN LAST YEAR QUIT TOBACCO USE,FORMER SMOKER
TOB INFO ON NON-VA STOP SMKG CLINIC FY09,CURRENT SMOKER
TOB INFO ON NON-VA STOP SMOKING CLINIC,CURRENT SMOKER
TOB INPT CONTACT LESS THAN 7 DAYS,UNKNOWN
TOB INPT CONTACT NO RX,CURRENT SMOKER
TOB INPT CONTACT NOT QUIT,CURRENT SMOKER
TOB INPT CONTACT NOT TAKING MEDS,CURRENT SMOKER
TOB INPT CONTACT NOT TAKING NON-VA MEDS,UNKNOWN
TOB INPT CONTACT PAST 7 DAYS,UNKNOWN
TOB INPT CONTACT QUESTIONS ABOUT MEDS,CURRENT SMOKER
TOB INPT CONTACT QUIT SINCE D/C,FORMER SMOKER
TOB INPT CONTACT REDUCED NOT QUIT,CURRENT SMOKER
TOB INPT CONTACT REFUSED INFO,CURRENT SMOKER
TOB INPT CONTACT REFUSED MEDS,CURRENT SMOKER
TOB INPT CONTACT TAKING MEDS,CURRENT SMOKER
TOB INPT NO INTEREST IN QUIT TOB USE,CURRENT SMOKER
TOB INPT NO INTEREST IN TOB CESSATION,CURRENT SMOKER
TOB INPT TOB CESSATION APPT MADE,CURRENT SMOKER
TOB INPT TOB CESSATION CONSULT ORDERED,CURRENT SMOKER
TOB INPT TOB CESSATION DECLINED,CURRENT SMOKER
TOB INPT YES INTEREST IN TOB CESSATION,CURRENT SMOKER
TOB INTERESTED IN CESS MEDS,CURRENT SMOKER
TOB INTERESTED IN REFERRAL,CURRENT SMOKER
TOB MEDS DECLINED,CURRENT SMOKER
TOB MEDS PRESCRIBED,CURRENT SMOKER
TOB never used,NEVER SMOKER
TOB NEVER USED TOBACCO,NEVER SMOKER
TOB NON USER,unknown
TOB NONE IN 12 MONTHS,unknown
TOB NONE IN 30 DAYS,UNKNOWN
TOB NONE IN 7 YRS,unknown
TOB NON-TRADITIONAL PRESCRIBER,unknown
TOB NON-TRADITIONAL PRESCRIBER FY09,UNKNOWN
TOB NON-USER,unknown
TOB NRT FUP COMPLETED,UNKNOWN
TOB NRT FUP UNABLE TO CONTACT,unknown
TOB Offered Pt Meds (Provider) FY09,CURRENT SMOKER
TOB OFFERED STOP SMOKING CLINIC (OPEN),CURRENT SMOKER
TOB OFFERED STOP SMOKING CLINIC FY09,CURRENT SMOKER
TOB OTHER INTERVENTIONS,unknown
TOB PACK YRS <30,FORMER SMOKER
TOB PACK YRS >=30,FORMER SMOKER
TOB PKS PER DAY,unknown
TOB PROV QUIT STRATEGIES,CURRENT SMOKER
TOB PROVIDER COUNSELING,CURRENT SMOKER
TOB PROVIDER NRT,CURRENT SMOKER
TOB PROVIDER NRT (INPT MENU),CURRENT SMOKER
TOB QUIT DATE,CURRENT SMOKER
TOB QUIT LATER (SCREEN),CURRENT SMOKER
TOB quit OVER 1yr ago,FORMER SMOKER
TOB QUIT TOBACCO >7 YEARS AGO,FORMER SMOKER
TOB QUIT TOBACCO USE IN LAST YEAR,FORMER SMOKER
TOB quitting now,CURRENT SMOKER
TOB REFER TO SMOKING CESSATION,CURRENT SMOKER
TOB REFER TO TELEQUIT,CURRENT SMOKER
TOB refer to TOBACCO CESSATION,CURRENT SMOKER
TOB refer to TOBACCO CESSATION BOPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION CONROE,CURRENT SMOKER
TOB refer to TOBACCO CESSATION CWOPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION GOPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION HOUSTON,CURRENT SMOKER
TOB refer to TOBACCO CESSATION KOPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION LJOPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION ROPC,CURRENT SMOKER
TOB refer to TOBACCO CESSATION TOPC,CURRENT SMOKER
TOB REFUSED MEDS,CURRENT SMOKER
TOB REFUSES SMOKING CESSATION,CURRENT SMOKER
TOB REMOVE PRODUCTS FROM HOME,unknown
TOB REMOVING,UNKNOWN
TOB resists SC,CURRENT SMOKER
TOB RISKS DISCUSSED,unknown
TOB Rx arranged,CURRENT SMOKER
TOB Rx non-VA meds,CURRENT SMOKER
TOB Rx not now,CURRENT SMOKER
TOB Rx prescribed,CURRENT SMOKER
TOB SC HOUSTON PC opt,UNKNOWN
TOB SC non-VA,UNKNOWN
TOB SC rx CO-SIGNER,CURRENT SMOKER
TOB SC will call to enroll i/SC,CURRENT SMOKER
TOB STAGE CH ACTION,UNKNOWN
TOB STAGE CH CONTEMP,UNKNOWN
TOB STAGE CH MAINTENANCE,UNKNOWN
TOB STAGE CH PRECON,UNKNOWN
TOB STAGE CH PREP,UNKNOWN
TOB strategies & plan,CURRENT SMOKER
TOB STRATEGIES CURRENT,CURRENT SMOKER
TOB STRATEGIES PAST,UNKNOWN
TOB SUPPORT,CURRENT SMOKER
TOB SURVEY N/A,UNKNOWN
TOB TIMES PER DAY,unknown
TOB try later,unknown
TOB USE BUPROPION ORDERED,CURRENT SMOKER
TOB USE COUNS APPT,CURRENT SMOKER
TOB USE COUNS PHONE,CURRENT SMOKER
TOB USE NICOTINE REPLACEMENT,CURRENT SMOKER
TOB USE ORAL MEDS,CURRENT SMOKER
TOB USE STAT-NO INFO PROVIDED ON TOB,UNKNOWN
tob use stat-no info provided on tob use,UNKNOWN
tob use stat-pt has not quit using tob,CURRENT SMOKER
tob use stat-pt quit using tob,FORMER SMOKER
TOB WANTS TO QUIT NO,CURRENT SMOKER
TOB WANTS TO QUIT YES,CURRENT SMOKER
TOB/SUB USE F/UP CALL COMPLETED,UNKNOWN
TOB/SUB USE UNABLE TO CONTACT PT,UNKNOWN
TOB10,UNKNOWN
TOB10 SCREEN RESULTS,UNKNOWN
TOB20,UNKNOWN
TOB40,UNKNOWN
TOB60 3 UNSUCCESSFUL ATTEMPTS TO CONTACT,UNKNOWN
TOB60 CONTACTED PATIENT,UNKNOWN
TOB60 CONTACT-FIRST,UNKNOWN
TOB60 CONTACT-IN PERSON,UNKNOWN
TOB60 CONTACT-SECOND,UNKNOWN
TOB60 CONTACT-SECURE MSG,UNKNOWN
TOB60 CONTACT-TELEPHONE,UNKNOWN
TOB60 CONTACT-THIRD,UNKNOWN
TOB60 EXC-INFO NOT VALID,UNKNOWN
TOB60 EXC-READMISSION,UNKNOWN
TOB60 EXC-THREE ATTEMPTS,UNKNOWN
TOB60 MEASURE CONTACTS (CATEGORY),UNKNOWN
TOB60 MEASURE EXCLUSIIONS (CATEGORY),UNKNOWN
TOB60 OTHERWISE UNREACHABLE,UNKNOWN
TOB60 UNSUCCESSFUL ATTEMPT TO CONTACT,UNKNOWN
TOBA,UNKNOWN
TOBAC COUNSEL INPT- MEDICATION OFFERED,CURRENT SMOKER
TOBAC COUNSEL INPT- REFER TO CLASS,CURRENT SMOKER
TOBAC COUNSEL-CESSATION ADVICE (INPT),CURRENT SMOKER
TOBAC COUNSEL-CESSATION AID (INPT),CURRENT SMOKER
TOBAC COUNSEL-CESSATION BROCHURE (INPT),CURRENT SMOKER
TOBAC COUNSEL-CESSATION VIDEO (INPT),CURRENT SMOKER
TOBACCO,unknown
TOBACCO - NON-SMOKER,UNKNOWN
TOBACCO - UNABLE TO ASSESS STATUS,unknown
TOBACCO - VOLPP,UNKNOWN
TOBACCO #1,unknown
TOBACCO (10/23/06),UNKNOWN
TOBACCO (2),UNKNOWN
TOBACCO (IMPRTD FLD),UNKNOWN
TOBACCO (NEW),UNKNOWN
TOBACCO (OC 5-4-12),UNKNOWN
TOBACCO (SMOKE/SMOKLESS),UNKNOWN
TOBACCO (use within 1yr),CURRENT SMOKER
TOBACCO (VA#2),UNKNOWN
TOBACCO (VA#3),UNKNOWN
TOBACCO (VA),UNKNOWN
TOBACCO *CAT,UNKNOWN
TOBACCO <10CIGS/DAY,UNKNOWN
TOBACCO >10CIGS/DAY,UNKNOWN
TOBACCO 09,UNKNOWN
TOBACCO 1-800,UNKNOWN
TOBACCO 1ST COUNSEL RESOLUTION,CURRENT SMOKER
TOBACCO 2,UNKNOWN
TOBACCO 2014,UNKNOWN
TOBACCO 2ND COUNSEL RESOLUTION,CURRENT SMOKER
TOBACCO 3RD COUNSEL RESOLUTION,CURRENT SMOKER
TOBACCO 504,UNKNOWN
TOBACCO 583,UNKNOWN
TOBACCO A,UNKNOWN
TOBACCO AAA,UNKNOWN
TOBACCO ABSTINENCE 1-7 YEARS,FORMER SMOKER
TOBACCO ABUSE,CURRENT SMOKER
TOBACCO ABUSE REPORTED TO MH,CURRENT SMOKER
TOBACCO ACTION STAGE,unknown
TOBACCO ADM RN CONSULT-INPT-PHARM,CURRENT SMOKER
TOBACCO ADVISED PATIENT TO QUIT,CURRENT SMOKER
TOBACCO ALTERNATIVE - ECIGARETTE,UNKNOWN
TOBACCO ALTERNATIVE - NICOTINE PATCH/GUM,CURRENT SMOKER
TOBACCO ALTERNATIVE - OTHER,UNKNOWN
TOBACCO ALTERNATIVES,unknown
TOBACCO ARRANGE,CURRENT SMOKER
TOBACCO ASK,UNKNOWN
TOBACCO ASSESS,UNKNOWN
TOBACCO ASSIST,UNKNOWN
TOBACCO ASSISTED WITH CESSATION,CURRENT SMOKER
TOBACCO ATTENDING CESSATION CLASS,CURRENT SMOKER
TOBACCO BARRIERS TO QUITTING REVIEWED,CURRENT SMOKER
TOBACCO BASIC COUNSELING (INPT),CURRENT SMOKER
TOBACCO BHC PROV COUNSELLING NEEDED,CURRENT SMOKER
TOBACCO BRIEF COUNSELING & RX,CURRENT SMOKER
TOBACCO BRIEF COUNSELING DONE,CURRENT SMOKER
TOBACCO CATEGORY PHI,UNKNOWN
TOBACCO CESS BROCHURE PROVIDED,CURRENT SMOKER
TOBACCO CESS COUNCELING DURING VISIT,CURRENT SMOKER
TOBACCO CESS COUNSELING II,CURRENT SMOKER
TOBACCO CESS COUNSELING III,CURRENT SMOKER
TOBACCO CESS MEDS NOT PRESCRIBED,CURRENT SMOKER
TOBACCO CESS MEDS ORDERED,CURRENT SMOKER
TOBACCO CESSATION,CURRENT SMOKER
TOBACCO CESSATION & MEDS,CURRENT SMOKER
TOBACCO CESSATION (INPATIENT),CURRENT SMOKER
TOBACCO CESSATION <7YRS,FORMER SMOKER
TOBACCO CESSATION > 12 MONTHS,FORMER SMOKER
TOBACCO CESSATION >7YRS,FORMER SMOKER
TOBACCO CESSATION 1-7 YEARS,FORMER SMOKER
TOBACCO CESSATION ADVICE,CURRENT SMOKER
TOBACCO CESSATION AIDS OFFERED,CURRENT SMOKER
TOBACCO CESSATION ALREADY ENROLLED,CURRENT SMOKER
TOBACCO CESSATION AT OTHER FACILITY,CURRENT SMOKER
TOBACCO CESSATION BENEFITS REVIEWED,CURRENT SMOKER
TOBACCO CESSATION BROCHURE,CURRENT SMOKER
TOBACCO CESSATION CLASS CONSULT,CURRENT SMOKER
TOBACCO CESSATION CLASS REFERRAL,CURRENT SMOKER
TOBACCO CESSATION CLASSES OFFERED,CURRENT SMOKER
TOBACCO CESSATION CLINIC ADDRESSED,CURRENT SMOKER
TOBACCO CESSATION CLINIC INTEREST,CURRENT SMOKER
TOBACCO CESSATION CLINIC NO,CURRENT SMOKER
TOBACCO CESSATION CLINIC OFFERED,CURRENT SMOKER
Tobacco Cessation Completed,UNKNOWN
TOBACCO CESSATION CONSULT NOT INTERESTED,CURRENT SMOKER
TOBACCO CESSATION CONSULT ORDERED,CURRENT SMOKER
TOBACCO CESSATION COPING STRATEGY (INPT),CURRENT SMOKER
TOBACCO CESSATION COUNSELING,CURRENT SMOKER
TOBACCO CESSATION COUNSELING 2,CURRENT SMOKER
TOBACCO CESSATION COUNSELING 3,CURRENT SMOKER
TOBACCO CESSATION COUNSELING DONE,CURRENT SMOKER
TOBACCO CESSATION COUNSELING NO,CURRENT SMOKER
TOBACCO CESSATION COUNSELING NURSE,CURRENT SMOKER
TOBACCO CESSATION COUNSELING OFFERED,CURRENT SMOKER
TOBACCO CESSATION COUNSELING REFUSED,CURRENT SMOKER
TOBACCO CESSATION COUNSELING YES,CURRENT SMOKER
TOBACCO CESSATION DC,CURRENT SMOKER
TOBACCO CESSATION DONE,CURRENT SMOKER
TOBACCO CESSATION ED (NURSE),CURRENT SMOKER
TOBACCO CESSATION ED (PROVIDER),CURRENT SMOKER
TOBACCO CESSATION ED REFUSED *HF,CURRENT SMOKER
TOBACCO CESSATION GROUP BCVAMC,CURRENT SMOKER
TOBACCO CESSATION INPT COUNSELING,CURRENT SMOKER
TOBACCO CESSATION INTERVENTION,CURRENT SMOKER
TOBACCO CESSATION LITERATURE DECLINED,CURRENT SMOKER
TOBACCO CESSATION MED ALREADY INPT,CURRENT SMOKER
TOBACCO CESSATION MED CONTRAINDICATED,UNKNOWN
TOBACCO CESSATION MED OFFER N/A INPT,UNKNOWN
TOBACCO CESSATION MED OTHER VA,CURRENT SMOKER
TOBACCO CESSATION MED OUTSIDE VA,CURRENT SMOKER
TOBACCO CESSATION MED RX INPT,CURRENT SMOKER
TOBACCO CESSATION MED RX REFUSED INPT,CURRENT SMOKER
TOBACCO CESSATION MEDICATION ACCEPTED,CURRENT SMOKER
TOBACCO CESSATION MEDICATION DC MEDS,CURRENT SMOKER
TOBACCO CESSATION MEDICATION DECLINED,CURRENT SMOKER
TOBACCO CESSATION MEDICATION GIVING,CURRENT SMOKER
TOBACCO CESSATION MEDICATION MA,CURRENT SMOKER
TOBACCO CESSATION MEDICATION NEED RX,CURRENT SMOKER
TOBACCO CESSATION MEDICATION NMVAHCS,CURRENT SMOKER
TOBACCO CESSATION MEDICATION NOT ORDERED,UNKNOWN
TOBACCO CESSATION MEDICATION OFFERED,CURRENT SMOKER
TOBACCO CESSATION MEDICATION ORDERED,CURRENT SMOKER
TOBACCO CESSATION MEDICATION PREVIOUS RX,UNKNOWN
TOBACCO CESSATION MEDICATION REFUSED,CURRENT SMOKER
TOBACCO CESSATION MEDICATION RX CHANGED,CURRENT SMOKER
TOBACCO CESSATION MEDICATIONS,CURRENT SMOKER
Tobacco cessation medications offered,CURRENT SMOKER
TOBACCO CESSATION MEDS,CURRENT SMOKER
TOBACCO CESSATION MEDS - ALREADY ON,CURRENT SMOKER
TOBACCO CESSATION MEDS ADDRESSED,CURRENT SMOKER
TOBACCO CESSATION MEDS CONTRAINDICATED,UNKNOWN
TOBACCO CESSATION MEDS DECLINED,CURRENT SMOKER
Tobacco Cessation Meds discussed,CURRENT SMOKER
TOBACCO CESSATION MEDS HEALTH FACTORS:,CURRENT SMOKER
TOBACCO CESSATION MEDS NO,CURRENT SMOKER
TOBACCO CESSATION MEDS OFFERED,CURRENT SMOKER
TOBACCO CESSATION MEDS ORDERED,CURRENT SMOKER
TOBACCO CESSATION MEDS PRESCRIBED AT DC,CURRENT SMOKER
TOBACCO CESSATION MEDS REFUSED,CURRENT SMOKER
TOBACCO CESSATION MEDS REQUESTED,CURRENT SMOKER
TOBACCO CESSATION MEDS REVIEW REQUIRED,CURRENT SMOKER
TOBACCO CESSATION OFFERED,CURRENT SMOKER
TOBACCO CESSATION OFFERED INPT PROVIDER,CURRENT SMOKER
TOBACCO CESSATION OFFERED PATIENT MEDS,CURRENT SMOKER
TOBACCO CESSATION OFFERED/DECLINED,CURRENT SMOKER
TOBACCO CESSATION ONGOING (538),CURRENT SMOKER
TOBACCO CESSATION OUTSIDE PRESCRIPTION,CURRENT SMOKER
TOBACCO CESSATION PATIENT DECLINED,CURRENT SMOKER
TOBACCO CESSATION PROGRAM,CURRENT SMOKER
TOBACCO CESSATION PROGRAM DECLINED,CURRENT SMOKER
TOBACCO CESSATION PROGRAM ENROLLED,CURRENT SMOKER
TOBACCO CESSATION PROGRAM NOT APPLICABLE,UNKNOWN
TOBACCO CESSATION PROGRAM OFFERED,CURRENT SMOKER
TOBACCO CESSATION PROGRAM REFERRAL,CURRENT SMOKER
TOBACCO CESSATION PROGRAM REFERRAL ORDER,CURRENT SMOKER
TOBACCO CESSATION PROVIDER,CURRENT SMOKER
TOBACCO CESSATION PT ABST PAST 7D V3,CURRENT SMOKER
TOBACCO CESSATION PT ABST PAST 7D V4,FORMER SMOKER
TOBACCO CESSATION READINESS,CURRENT SMOKER
TOBACCO CESSATION REFERRAL ACCEPTED,CURRENT SMOKER
TOBACCO CESSATION REFERRAL AIKEN,CURRENT SMOKER
TOBACCO CESSATION REFERRAL ATHENS,CURRENT SMOKER
TOBACCO CESSATION REFERRAL AUGUSTA,CURRENT SMOKER
TOBACCO CESSATION REFERRAL DECLINED,CURRENT SMOKER
TOBACCO CESSATION REFERRAL NOT ORDERED,UNKNOWN
TOBACCO CESSATION REFERRAL OFFERED,CURRENT SMOKER
TOBACCO CESSATION REFERRAL ORDERED,CURRENT SMOKER
TOBACCO CESSATION REFERRAL REFUSED,CURRENT SMOKER
TOBACCO CESSATION REFUSED,CURRENT SMOKER
TOBACCO CESSATION SELF ENROLL CARD,CURRENT SMOKER
TOBACCO CESSATION STRATEGIES DISCUSSED,CURRENT SMOKER
TOBACCO CESSATION THERAPY ONGOING,CURRENT SMOKER
TOBACCO CESSATION VISIT 1,CURRENT SMOKER
Tobacco Cessation Visit 1 Face to Face,CURRENT SMOKER
Tobacco Cessation Visit 1 Phone,CURRENT SMOKER
TOBACCO CESSATION VISIT 2,CURRENT SMOKER
Tobacco Cessation Visit 2 Face to Face,CURRENT SMOKER
Tobacco Cessation Visit 2 Phone,CURRENT SMOKER
TOBACCO CESSATION VISIT 3,CURRENT SMOKER
Tobacco Cessation Visit 3 Face to Face,CURRENT SMOKER
Tobacco Cessation Visit 3 Phone,CURRENT SMOKER
TOBACCO CESSATION VISIT 4,CURRENT SMOKER
Tobacco Cessation Visit 4 Face to Face,CURRENT SMOKER
Tobacco Cessation Visit 4 Phone,CURRENT SMOKER
TOBACCO CESSATION: <1 YEAR,FORMER SMOKER
TOBACCO CESSATION: >10 YEARS,FORMER SMOKER
TOBACCO CESSATION: 1-5 YEARS,FORMER SMOKER
TOBACCO CESSATION: 5-10 YEARS,FORMER SMOKER
TOBACCO CESSATION-MED OFFER,CURRENT SMOKER
TOBACCO CHANTIX CONTINUATION,CURRENT SMOKER
TOBACCO CHANTIX CRITERIA NOT MET,CURRENT SMOKER
TOBACCO CHANTIX DISCONTINUATION,CURRENT SMOKER
TOBACCO CHANTIX EXCLUSIONS,CURRENT SMOKER
TOBACCO CHANTIX MH DX,CURRENT SMOKER
TOBACCO CHANTIX MH DX UNCERTAIN,CURRENT SMOKER
TOBACCO CHANTIX NO EXCLUSIONS,CURRENT SMOKER
TOBACCO CHANTIX NO MH DX,CURRENT SMOKER
TOBACCO CHEW USER,UNKNOWN
TOBACCO CIG,UNKNOWN
TOBACCO CIGAR SMOKER,UNKNOWN
TOBACCO CIGARETTE SMOKER,CURRENT SMOKER
TOBACCO CIGARETTE USER,CURRENT SMOKER
TOBACCO CIGARETTE/PRODUCT USER,CURRENT SMOKER
TOBACCO CLA,UNKNOWN
TOBACCO CLASS,CURRENT SMOKER
TOBACCO CONSULT,UNKNOWN
TOBACCO CONSULT STATUS NOT DISCONTINUED,UNKNOWN
TOBACCO CONSULT-OUPT-DISCHARGE,UNKNOWN
TOBACCO CONSULT-OUPT-DISCHARGE DECLINED,CURRENT SMOKER
TOBACCO CONSULT-REFUSED,CURRENT SMOKER
TOBACCO CONTEMPLATION STAGE,unknown
TOBACCO CONTINUES SMOKING,CURRENT SMOKER
TOBACCO CONTROLLING MEDS OFFERED,CURRENT SMOKER
TOBACCO CONTROLLING MEDS OFFERED IP,CURRENT SMOKER
Tobacco Counsel/Clinic/Meds Refused,CURRENT SMOKER
TOBACCO COUNSELED CESSATION,CURRENT SMOKER
TOBACCO COUNSELING,CURRENT SMOKER
TOBACCO COUNSELING #1 DONE,CURRENT SMOKER
TOBACCO COUNSELING #2 DONE,CURRENT SMOKER
TOBACCO COUNSELING #3 DONE,CURRENT SMOKER
TOBACCO COUNSELING & OFFERED REFERRAL,CURRENT SMOKER
TOBACCO COUNSELING (OPD),CURRENT SMOKER
TOBACCO COUNSELING 1,CURRENT SMOKER
TOBACCO COUNSELING 2,CURRENT SMOKER
TOBACCO COUNSELING 3,CURRENT SMOKER
TOBACCO COUNSELING ACCEPTED,CURRENT SMOKER
TOBACCO COUNSELING BROCHURE,CURRENT SMOKER
TOBACCO COUNSELING BY INPATIENT RN,CURRENT SMOKER
TOBACCO COUNSELING BY MD/NP/PA,CURRENT SMOKER
TOBACCO COUNSELING BY OTHERS,CURRENT SMOKER
TOBACCO COUNSELING BY PROVIDER,CURRENT SMOKER
TOBACCO COUNSELING CESSATION PROGRAM,CURRENT SMOKER
TOBACCO COUNSELING CONTRAINDICATED,UNKNOWN
TOBACCO COUNSELING CONTRAINDICATED CLE,UNKNOWN
TOBACCO COUNSELING DECLINED,CURRENT SMOKER
TOBACCO COUNSELING DISCHARGE INPT DONE,CURRENT SMOKER
TOBACCO COUNSELING DONE,CURRENT SMOKER
TOBACCO COUNSELING DONE BY NURSE,CURRENT SMOKER
TOBACCO COUNSELING DONE ELSEWHERE,CURRENT SMOKER
TOBACCO COUNSELING DONE INPT PROVIDER,CURRENT SMOKER
TOBACCO COUNSELING DONE IP,CURRENT SMOKER
TOBACCO COUNSELING DONE TODAY,CURRENT SMOKER
TOBACCO COUNSELING GIVEN,CURRENT SMOKER
TOBACCO COUNSELING GIVEN#2,CURRENT SMOKER
TOBACCO COUNSELING GIVEN#3,CURRENT SMOKER
TOBACCO COUNSELING GROUP,CURRENT SMOKER
TOBACCO COUNSELING HISTORICAL,UNKNOWN
TOBACCO COUNSELING HISTORY,UNKNOWN
TOBACCO COUNSELING INPATIENT,CURRENT SMOKER
TOBACCO COUNSELING INPT,CURRENT SMOKER
TOBACCO COUNSELING INPT INTERESTED,CURRENT SMOKER
TOBACCO COUNSELING INPT INTERESTED D/C,CURRENT SMOKER
TOBACCO COUNSELING INPT NOT INTERESTED,CURRENT SMOKER
TOBACCO COUNSELING INPT REFUSED,CURRENT SMOKER
TOBACCO COUNSELING LAST VISIT,CURRENT SMOKER
TOBACCO COUNSELING MEDICATION,CURRENT SMOKER
TOBACCO COUNSELING MORE 5 NO,CURRENT SMOKER
TOBACCO COUNSELING MORE 5 YES,CURRENT SMOKER
TOBACCO COUNSELING NO,CURRENT SMOKER
TOBACCO COUNSELING NOT INTERESTED,CURRENT SMOKER
TOBACCO COUNSELING NURSE,CURRENT SMOKER
TOBACCO COUNSELING OBJECTIVES,CURRENT SMOKER
TOBACCO COUNSELING OFFERED,CURRENT SMOKER
TOBACCO COUNSELING OFFERED (1),CURRENT SMOKER
TOBACCO COUNSELING OFFERED (YES),CURRENT SMOKER
TOBACCO COUNSELING OFFERED BUT DECLINED,CURRENT SMOKER
TOBACCO COUNSELING OUTPATIENT,CURRENT SMOKER
TOBACCO COUNSELING POSTPONED,CURRENT SMOKER
TOBACCO COUNSELING PROVIDER,CURRENT SMOKER
TOBACCO COUNSELING PROVIDER INPT DONE,CURRENT SMOKER
TOBACCO COUNSELING REFUSED,CURRENT SMOKER
TOBACCO COUNSELING REFUSED (538),CURRENT SMOKER
TOBACCO COUNSELING REFUSED INP,CURRENT SMOKER
TOBACCO COUNSELING THIRD,CURRENT SMOKER
TOBACCO COUNSELING UNABLE TO ANSWER,CURRENT SMOKER
TOBACCO COUNSELING VERBAL,CURRENT SMOKER
TOBACCO COUNSELING VIDEO,CURRENT SMOKER
TOBACCO COUNSELING X3 THIS YEAR,CURRENT SMOKER
TOBACCO COUNSELING YES,CURRENT SMOKER
"TOBACCO COUNSELING, REFUSED TO QUIT",CURRENT SMOKER
TOBACCO COUNSELING1,CURRENT SMOKER
TOBACCO COUNSELING-1D,CURRENT SMOKER
TOBACCO COUNSLEING BY PROVIDER,CURRENT SMOKER
TOBACCO CURRENT NON USER *HF,UNKNOWN
TOBACCO CURRENT NON-USER (= or >7 years),UNKNOWN
TOBACCO CURRENT TREATMENT,CURRENT SMOKER
TOBACCO CURRENT TX PROGRAM,CURRENT SMOKER
TOBACCO CURRENT USE,CURRENT SMOKER
TOBACCO CURRENT USER,CURRENT SMOKER
