HEALTHFACTORTYPE,SmokingFactor
DATE STOP SMOKING VERIFIED,FORMER SMOKER
DAY ENROLLED IN SMOKING CESSATION,CURRENT SMOKER
DAY FORMER SMOKER,FORMER SMOKER
DAY TOBACCO CESSATION ONGOING,CURRENT SMOKER
DAY TOBACCO CIGARETTE USER,CURRENT SMOKER
DAY TOBACCO CIGARETTE/PRODUCT USER,CURRENT SMOKER
DAY TOBACCO CURRENT USER,CURRENT SMOKER
DAY TOBACCO FORMER USER >7 YEARS,FORMER SMOKER
DAY TOBACCO FORMER USER LESS 12 MONTHS,FORMER SMOKER
DAY TOBACCO FORMER USER MORE 12 MONTHS,FORMER SMOKER
DAY TOBACCO LIFELONG NON-USER,NEVER SMOKER
DAY TOBACCO PRODUCT USER,CURRENT SMOKER
DAY TOBACCO SCREEN DONE ELSEWHERE,UNKNOWN
