domain,marker_name,LabChemTestName,lower,upper,source,n_records,n_patients,n_cohort,prop_patients,feature_name,feature_subcategory,code,code_vocabulary,Description,drug_name,VAClassification,percent_of_patients,VAClassification_Description,VAClass
Medications,"","","","","",666,282,735933,0.000383187056430409,AnyDrug,"","","","",ANTIBIOTIC DRUG LEVEL DRAW,AA000,0.0383187056430409,INTRODUCTION,AA000-INTRODUCTION
Medications,"","","","","",666,129,735933,0.000175287696026676,AnyDrug,"","","","",SODIUM CHLORIDE,DE900,0.0175287696026676,"DERMATOLOGICALS,TOPICAL OTHER","DE900-DERMATOLOGICALS,TOPICAL OTHER"
Medications,"","","","","",664,114,735933,0.000154905405791016,AnyDrug,"","","","",LEVLEN,HS200,0.0154905405791016,"CONTRACEPTIVES,SYSTEMIC","HS200-CONTRACEPTIVES,SYSTEMIC"
Medications,"","","","","",664,111,735933,0.000150828947743884,AnyDrug,"","","","",SODIUM CHLORIDE IV/INJ,"",0.0150828947743884,"",
Medications,"","","","","",663,571,735933,0.000775885848304126,AnyDrug,"","","","",AMOXICILLIN/CLARITHROMYCIN/LANSOPRAZOLE,GA303,0.0775885848304126,H. PYLORI AGENTS,GA303-H. PYLORI AGENTS
Medications,"","","","","",663,395,735933,0.000536733642872381,AnyDrug,"","","","",MEFLOQUINE,AP101,0.0536733642872381,ANTIMALARIALS,AP101-ANTIMALARIALS
Medications,"","","","","",663,441,735933,0.000599239332928405,AnyDrug,"","","","",METOPROLOL TARTRATE,"",0.0599239332928405,"",
Medications,"","","","","",662,308,735933,0.000418516359505553,AnyDrug,"","","","",METHYLPREDNISOLONE SOD SUCC,"",0.0418516359505553,"",
Medications,"","","","","",661,498,735933,0.000676692035823913,AnyDrug,"","","","",BISMUTH/METRONIDAZOLE/TETRACYCLINE,GA303,0.0676692035823913,H. PYLORI AGENTS,GA303-H. PYLORI AGENTS
Medications,"","","","","",661,576,735933,0.000782679945049346,AnyDrug,"","","","",CPD,"",0.0782679945049345,"",
Medications,"","","","","",661,125,735933,0.0001698524186305,AnyDrug,"","","","",HYDROPHOR,DE350,0.01698524186305,EMOLLIENTS,DE350-EMOLLIENTS
Medications,"","","","","",661,333,735933,0.000452486843231653,AnyDrug,"","","","",ZMEPERIDINE,CN101,0.0452486843231653,OPIOID ANALGESICS,CN101-OPIOID ANALGESICS
Medications,"","","","","",660,101,735933,0.000137240754253444,AnyDrug,"","","","",ISOMETHEPTENE DICHL PHENAZONE ACETAMINOPHEN,CN105,0.0137240754253444,ANTIMIGRAINE AGENTS,CN105-ANTIMIGRAINE AGENTS
Medications,"","","","","",659,116,735933,0.000157623044489104,AnyDrug,"","","","",FLUNISOLIDE SP,RE101,0.0157623044489104,"ANTI-INFLAMMATORIES,INHALATION","RE101-ANTI-INFLAMMATORIES,INHALATION"
Medications,"","","","","",658,280,735933,0.000380469417732321,AnyDrug,"","","","",MULTIVITAMIN IV,"",0.0380469417732321,"",
Medications,"","","","","",657,622,735933,0.00084518563510537,AnyDrug,"","","","",PROTAMINE SULFATE,BL118,0.084518563510537,HEPARIN ANTAGONISTS,BL118-HEPARIN ANTAGONISTS
Medications,"","","","","",657,597,735933,0.00081121515137927,AnyDrug,"","","","",PROTAMINE SULFATE,"",0.081121515137927,"",
Medications,"","","","","",656,535,735933,0.000726968351738541,AnyDrug,"","","","",MORPHINE SULF INJ,"",0.0726968351738541,"",
Medications,"","","","","",655,236,735933,0.000320681366374385,AnyDrug,"","","","",CASPOFUNGIN ACETATE,"",0.0320681366374385,"",
